"State","County","Murder.and.nonnegligent.manslaughter","Forcible.rape","Robbery","Aggravated.assault","Burglary","Larceny.theft","Motor.vehicle.theft","Arson","Year"
"Alabama","Autauga",0,4,9,36,129,211,40,NA,2004
"Alabama","Bibb",0,2,3,20,40,43,6,NA,2004
"Alabama","Blount",2,12,2,85,373,550,112,2,2004
"Alabama","Calhoun",0,6,12,7,175,506,1,NA,2004
"Alabama","Chilton",1,11,4,359,216,326,13,NA,2004
"Alabama","Colbert",1,5,5,71,104,238,17,NA,2004
"Alabama","Elmore",1,8,9,9,257,480,31,NA,2004
"Alabama","Etowah",3,6,3,2,125,195,35,NA,2004
"Alabama","Geneva",0,3,2,30,85,84,24,NA,2004
"Alabama","Greene",0,2,3,26,62,55,9,NA,2004
"Alabama","Hale",0,1,1,23,58,94,18,NA,2004
"Alabama","Henry",1,3,4,21,56,79,19,NA,2004
"Alabama","Houston",1,0,2,15,113,228,32,NA,2004
"Alabama","Jefferson",0,42,116,169,1214,2277,356,NA,2004
"Alabama","Lauderdale",1,4,1,32,102,301,17,NA,2004
"Alabama","Lawrence",0,4,1,20,128,305,33,NA,2004
"Alabama","Lee",6,3,18,37,386,823,88,NA,2004
"Alabama","Limestone",0,8,6,28,114,193,71,NA,2004
"Alabama","Lowndes",0,4,18,45,173,33,19,NA,2004
"Alabama","Madison",0,29,36,135,643,1399,183,NA,2004
"Alabama","Mobile",2,28,30,154,907,1483,174,NA,2004
"Alabama","Montgomery",1,8,6,40,202,481,53,NA,2004
"Alabama","Morgan",2,2,5,12,243,214,6,NA,2004
"Alabama","Russell",2,5,2,11,84,75,34,NA,2004
"Alabama","Shelby",3,24,21,52,391,517,91,NA,2004
"Alabama","St Clair",0,21,5,78,145,340,35,NA,2004
"Alabama","Tuscaloosa",6,20,18,216,611,1044,218,NA,2004
"Alabama","Walker",1,4,14,20,351,566,97,NA,2004
"Alabama","Baldwin",0,23,4,82,250,431,NA,NA,2004
"Alabama","Cullman",1,23,5,72,539,1065,155,NA,2004
"Alabama","Dallas",0,3,3,7,63,59,21,NA,2004
"Alabama","De Kalb",0,0,0,5,98,126,47,NA,2004
"Alabama","Jackson",2,8,4,54,251,380,108,NA,2004
"Alabama","Marshall",1,10,0,21,215,230,39,NA,2004
"Arizona","Coconino",4,10,5,75,166,364,76,9,2004
"Arizona","Maricopa",12,24,74,475,1657,3647,1082,30,2004
"Arizona","Pima",23,73,174,460,2329,8751,1382,112,2004
"Arizona","Pinal",11,30,31,143,775,2102,651,0,2004
"Arizona","Yavapai",2,6,9,204,548,1154,159,10,2004
"Arizona","Yuma",0,2,21,289,576,668,231,3,2004
"Arizona","Apache",0,2,1,44,77,143,3,0,2004
"Arizona","Cochise",6,24,20,662,297,757,222,16,2004
"Arizona","Gila",0,7,4,110,271,290,61,7,2004
"Arizona","Mohave",6,5,13,118,984,1732,339,32,2004
"Arizona","Navajo",3,4,3,41,299,187,46,5,2004
"Arkansas","Benton",2,16,1,33,108,343,25,10,2004
"Arkansas","Cleveland",1,1,0,2,71,43,5,3,2004
"Arkansas","Craighead",1,3,1,44,125,210,41,9,2004
"Arkansas","Crittenden",3,3,19,74,214,252,53,8,2004
"Arkansas","Faulkner",2,16,1,38,156,510,91,7,2004
"Arkansas","Jefferson",2,5,6,75,276,187,31,8,2004
"Arkansas","Lincoln",1,0,1,5,40,46,0,1,2004
"Arkansas","Lonoke",1,4,3,83,174,213,14,3,2004
"Arkansas","Madison",0,2,0,22,30,37,3,0,2004
"Arkansas","Miller",0,6,1,77,106,209,27,5,2004
"Arkansas","Poinsett",0,5,2,72,110,16,14,2,2004
"Arkansas","Pulaski",10,23,34,239,523,1368,220,22,2004
"Arkansas","Sebastian",0,8,0,38,111,127,15,1,2004
"Arkansas","Washington",1,22,1,102,217,400,46,17,2004
"Arkansas","Independence",2,8,4,21,332,753,65,9,2004
"Arkansas","White",1,5,5,53,351,499,118,14,2004
"California","Alameda",5,29,174,253,731,1673,947,33,2004
"California","Butte",2,12,21,121,867,1058,30,120,2004
"California","Contra Costa",11,35,128,326,850,2759,21,17,2004
"California","El Dorado",2,19,25,244,810,1658,8,11,2004
"California","Fresno",10,45,148,667,1769,3480,959,303,2004
"California","Imperial",0,10,10,113,290,594,19,25,2004
"California","Kern",18,131,322,1412,3607,6262,1720,260,2004
"California","Kings",2,16,15,62,222,282,7,7,2004
"California","Los Angeles",170,224,1776,5031,5042,9191,6517,469,2004
"California","Madera",2,11,23,273,626,723,11,4,2004
"California","Marin",0,6,37,111,211,682,5,2,2004
"California","Merced",3,32,37,405,918,1082,21,13,2004
"California","Monterey",8,13,84,154,480,1419,18,19,2004
"California","Napa",0,10,4,21,174,278,15,3,2004
"California","Orange",2,10,29,205,323,932,241,17,2004
"California","Placer",1,10,17,122,734,1320,91,13,2004
"California","Riverside",32,113,330,1590,3524,7437,3214,72,2004
"California","Sacramento",41,241,1366,2593,6888,19519,1830,261,2004
"California","San Benito",0,7,3,41,117,171,7,1,2004
"California","San Bernardino",34,79,253,673,2289,3601,1762,142,2004
"California","San Diego",16,95,279,1118,2462,4622,1907,64,2004
"California","San Joaquin",10,36,162,680,1519,3515,289,26,2004
"California","San Luis Obispo",0,27,18,152,488,1052,13,12,2004
"California","San Mateo",2,15,39,113,248,1396,244,13,2004
"California","Santa Barbara",3,24,29,134,677,1015,10,15,2004
"California","Santa Clara",4,38,39,226,445,1455,212,3,2004
"California","Santa Cruz",2,29,23,270,730,1827,16,14,2004
"California","Shasta",1,39,8,320,572,735,51,46,2004
"California","Solano",4,5,11,100,225,188,14,22,2004
"California","Sonoma",8,60,38,560,747,1682,62,25,2004
"California","Stanislaus",13,49,168,652,1277,2804,528,355,2004
"California","Sutter",0,13,16,128,327,525,65,16,2004
"California","Tulare",9,28,68,470,1219,2071,NA,670,2004
"California","Ventura",3,8,17,145,334,764,149,10,2004
"California","Yolo",1,4,6,31,122,255,17,5,2004
"California","Yuba",4,15,42,234,620,860,10,31,2004
"California","Calaveras",3,9,9,83,294,449,5,4,2004
"California","Humboldt",0,18,22,111,521,476,14,15,2004
"California","Lake",1,14,13,178,368,502,6,4,2004
"California","Mendocino",6,16,17,286,331,458,8,9,2004
"California","Nevada",0,14,4,101,253,468,20,1,2004
"California","Tehama",3,4,7,170,161,187,0,22,2004
"California","Tuolumne",2,6,8,146,606,831,2,16,2004
"Colorado","Adams",11,33,78,295,863,2225,891,33,2004
"Colorado","Arapahoe",4,27,27,181,433,981,268,41,2004
"Colorado","Boulder",3,3,3,94,206,665,48,14,2004
"Colorado","Broomfield",1,7,12,20,150,1296,105,7,2004
"Colorado","Clear Creek",0,3,1,8,29,116,7,3,2004
"Colorado","Douglas",0,53,14,134,541,2051,139,25,2004
"Colorado","Elbert",0,0,1,12,44,56,13,1,2004
"Colorado","El Paso",1,59,21,721,680,1874,276,20,2004
"Colorado","Jefferson",2,22,40,239,695,2958,444,35,2004
"Colorado","Larimer",2,26,3,70,306,1002,92,15,2004
"Colorado","Park",1,0,0,29,52,16,15,1,2004
"Colorado","Pueblo",1,3,9,34,322,957,64,3,2004
"Colorado","Teller",1,0,0,17,32,60,6,2,2004
"Colorado","Weld",2,30,7,130,405,637,192,17,2004
"Colorado","Eagle",0,3,2,27,28,578,3,5,2004
"Colorado","Fremont",2,2,0,39,26,142,16,1,2004
"Colorado","La Plata",0,1,2,19,102,186,26,0,2004
"Delaware","New Castle ",3,112,232,860,1682,3941,749,11,2004
"Florida","Alachua",1,53,110,761,1178,2380,231,18,2004
"Florida","Baker",1,2,11,92,89,293,32,4,2004
"Florida","Bay",5,53,46,332,506,2238,201,6,2004
"Florida","Brevard",3,89,112,981,1385,2780,337,32,2004
"Florida","Broward",7,57,276,780,668,2012,370,24,2004
"Florida","Charlotte",4,41,77,482,1075,2867,255,6,2004
"Florida","Clay",6,39,46,431,701,2124,251,17,2004
"Florida","Collier",14,89,203,946,1355,3912,365,50,2004
"Florida","Escambia",18,101,284,1222,2220,5610,638,31,2004
"Florida","Gadsden",5,14,22,122,181,314,46,5,2004
"Florida","Gilchrist",0,1,0,25,72,152,22,0,2004
"Florida","Hernando",4,81,57,661,1178,2658,229,20,2004
"Florida","Hillsborough",27,253,1000,3560,6320,19643,3485,134,2004
"Florida","Indian River",1,52,35,271,590,2048,167,10,2004
"Florida","Jefferson",0,10,2,68,42,74,6,1,2004
"Florida","Lake",4,35,42,767,1202,1737,329,19,2004
"Florida","Lee",12,109,412,1006,3049,6443,1285,117,2004
"Florida","Leon",1,34,41,356,694,803,159,24,2004
"Florida","Manatee",8,75,338,1493,2526,7087,729,32,2004
"Florida","Marion",14,125,66,1144,1473,2883,416,10,2004
"Florida","Martin",7,17,89,327,664,2232,172,10,2004
"Florida","Miami-Dade",88,464,2281,6360,8765,38531,7538,262,2004
"Florida","Nassau",2,28,19,715,381,577,108,2,2004
"Florida","Okaloosa",2,27,59,307,728,2369,221,7,2004
"Florida","Orange",38,285,1302,3680,6983,18201,3896,0,2004
"Florida","Osceola",1,70,100,433,2116,2724,405,10,2004
"Florida","Palm Beach",32,241,656,2125,4937,12268,2535,141,2004
"Florida","Pasco",15,122,180,1004,3150,6859,904,39,2004
"Florida","Pinellas",3,121,155,772,1868,5604,728,45,2004
"Florida","Polk",10,67,188,1186,2798,5478,882,0,2004
"Florida","Santa Rosa",5,42,20,278,508,1104,96,9,2004
"Florida","Sarasota",1,44,92,626,1924,5714,477,21,2004
"Florida","Seminole",8,42,72,477,827,2459,280,14,2004
"Florida","St Johns",2,8,36,462,834,1937,208,5,2004
"Florida","St Lucie",2,26,34,325,605,1103,195,16,2004
"Florida","Volusia",10,56,100,852,1233,3228,555,50,2004
"Florida","Wakulla",0,17,2,80,168,344,33,3,2004
"Florida","Citrus",2,28,15,302,546,1434,159,23,2004
"Florida","Columbia",2,22,22,189,403,713,84,6,2004
"Florida","DeSoto",4,5,17,136,208,408,13,0,2004
"Florida","Flagler",0,9,15,115,299,894,88,3,2004
"Florida","Hendry",1,12,29,149,207,397,84,2,2004
"Florida","Highlands",1,15,31,164,590,997,129,2,2004
"Florida","Jackson",4,9,4,135,193,358,27,1,2004
"Florida","Levy",1,34,7,135,279,469,70,3,2004
"Florida","Monroe",0,24,26,210,446,1639,107,14,2004
"Florida","Okeechobee",1,18,7,217,396,296,69,1,2004
"Florida","Putnam",3,33,38,491,809,972,167,4,2004
"Florida","Sumter",3,27,13,185,227,538,76,4,2004
"Florida","Suwannee",0,13,4,111,184,406,62,0,2004
"Florida","Walton",2,5,1,117,242,623,68,10,2004
"Georgia","Augusta-Richmond",14,154,466,196,2586,8613,1720,68,2004
"Georgia","Barrow",1,8,2,239,330,630,83,NA,2004
"Georgia","Bartow",0,5,18,109,792,1750,280,0,2004
"Georgia","Brantley",1,0,4,25,143,255,44,0,2004
"Georgia","Brooks",1,2,2,77,54,149,30,5,2004
"Georgia","Bryan",0,0,7,14,57,399,20,0,2004
"Georgia","Burke",0,2,4,NA,119,293,46,0,2004
"Georgia","Carroll",5,24,8,115,820,1322,248,NA,2004
"Georgia","Clayton ",17,42,491,488,2606,4231,1900,16,2004
"Georgia","Cobb ",12,122,443,663,2866,7969,1647,NA,2004
"Georgia","Coweta",1,1,15,44,334,864,188,3,2004
"Georgia","Crawford",1,1,3,13,85,218,26,NA,2004
"Georgia","Dawson",0,1,2,16,100,337,65,3,2004
"Georgia","DeKalb",79,257,1719,850,7637,12285,6431,120,2004
"Georgia","Dougherty",0,0,0,0,5,56,2,0,2004
"Georgia","Douglas",4,11,35,102,492,1451,238,1,2004
"Georgia","Fayette",5,4,4,10,121,515,57,1,2004
"Georgia","Floyd ",6,0,14,87,386,1147,173,NA,2004
"Georgia","Forsyth",1,10,19,220,512,1634,258,NA,2004
"Georgia","Fulton",0,0,1,10,3,35,13,0,2004
"Georgia","Fulton ",17,42,453,419,2306,5662,1004,NA,2004
"Georgia","Glynn",2,16,60,88,572,2667,155,16,2004
"Georgia","Gwinnett ",28,160,777,772,4700,10941,2481,87,2004
"Georgia","Hall",5,23,36,173,880,2328,460,6,2004
"Georgia","Haralson",0,3,2,38,200,282,114,NA,2004
"Georgia","Harris",3,1,5,11,50,158,33,NA,2004
"Georgia","Jasper",0,0,1,9,86,124,19,0,2004
"Georgia","Jones",1,0,2,24,142,356,54,0,2004
"Georgia","Lee",0,2,6,25,106,427,34,0,2004
"Georgia","Lowndes",2,9,29,76,272,967,81,NA,2004
"Georgia","McIntosh",0,1,1,29,50,247,24,0,2004
"Georgia","Rockdale",5,7,29,214,501,1724,230,4,2004
"Georgia","Walker",3,0,4,31,313,905,115,6,2004
"Georgia","Walton",5,1,5,19,233,571,145,1,2004
"Georgia","Bulloch",1,3,11,28,187,591,63,0,2004
"Georgia","Colquitt",8,2,7,67,222,547,64,6,2004
"Georgia","Habersham",0,4,2,26,212,272,61,0,2004
"Georgia","Jackson",1,2,2,47,203,473,56,NA,2004
"Hawaii","Kauai ",2,37,22,147,526,1865,102,10,2004
"Hawaii","Maui ",1,16,70,181,1789,5331,721,49,2004
"Idaho","Ada",0,29,1,112,56,529,21,1,2004
"Idaho","Bannock",0,4,1,27,44,166,16,2,2004
"Idaho","Boise",0,1,0,6,34,85,2,0,2004
"Idaho","Bonneville",2,15,2,24,180,669,58,4,2004
"Idaho","Canyon",1,11,6,56,272,473,89,4,2004
"Idaho","Franklin",0,1,0,0,0,30,2,0,2004
"Idaho","Gem",0,2,0,6,8,12,9,0,2004
"Idaho","Jefferson",0,2,0,14,7,119,6,0,2004
"Idaho","Kootenai",1,15,4,91,365,721,80,8,2004
"Idaho","Nez Perce",0,0,0,1,8,64,5,0,2004
"Idaho","Owyhee",0,1,0,11,46,70,17,1,2004
"Idaho","Power",0,2,0,7,16,46,8,0,2004
"Idaho","Bingham",0,3,2,14,103,186,25,1,2004
"Idaho","Bonner",1,8,1,44,142,417,48,2,2004
"Indiana","Allen",1,11,20,36,330,1078,139,10,2004
"Indiana","Bartholomew",0,1,0,15,45,270,4,0,2004
"Indiana","Brown",0,0,0,0,28,38,2,1,2004
"Indiana","Clark",2,7,10,72,241,401,54,2,2004
"Indiana","Clay",1,0,2,9,38,90,26,0,2004
"Indiana","Delaware",0,19,1,23,104,489,73,3,2004
"Indiana","Elkhart",1,19,20,15,452,1033,222,19,2004
"Indiana","Floyd",0,2,0,3,95,526,40,0,2004
"Indiana","Franklin",0,0,0,9,78,102,18,2,2004
"Indiana","Gibson",0,4,1,2,0,17,6,0,2004
"Indiana","Greene",0,2,0,5,67,181,14,1,2004
"Indiana","Hamilton",0,7,4,29,168,510,45,11,2004
"Indiana","Hancock",1,1,3,6,119,220,17,1,2004
"Indiana","Harrison",2,4,2,23,318,382,44,5,2004
"Indiana","Hendricks",2,6,3,67,281,577,82,2,2004
"Indiana","Howard",0,5,7,52,168,426,36,1,2004
"Indiana","Johnson",2,7,5,75,90,633,23,0,2004
"Indiana","Lake",2,1,9,30,107,345,126,2,2004
"Indiana","La Porte",0,3,7,23,142,480,32,1,2004
"Indiana","Madison",2,7,3,9,114,271,28,5,2004
"Indiana","Monroe",2,9,7,26,172,225,39,10,2004
"Indiana","Newton",0,0,1,4,56,73,22,1,2004
"Indiana","Porter",0,2,7,40,205,599,126,0,2004
"Indiana","Putnam",0,6,1,148,220,237,50,0,2004
"Indiana","Shelby",1,1,0,11,77,162,27,1,2004
"Indiana","St Joseph",1,13,27,36,396,1378,99,18,2004
"Indiana","Sullivan",1,0,1,11,64,97,10,1,2004
"Indiana","Tippecanoe",1,11,4,12,309,529,60,6,2004
"Indiana","Vanderburgh",1,5,5,33,119,1085,55,6,2004
"Indiana","Warrick",0,2,6,85,97,380,14,4,2004
"Indiana","Wells",0,0,0,1,40,75,13,2,2004
"Indiana","Grant",0,1,1,3,110,258,31,5,2004
"Indiana","Henry",1,4,5,3,259,456,35,0,2004
"Indiana","Kosciusko",0,4,6,5,154,698,50,5,2004
"Indiana","Lagrange",0,0,1,10,56,102,9,1,2004
"Indiana","Lawrence",1,1,1,4,49,117,14,4,2004
"Indiana","Steuben",0,4,1,8,145,427,21,0,2004
"Iowa","Benton",0,0,0,7,30,33,5,0,2004
"Iowa","Black Hawk",0,7,0,13,199,118,6,2,2004
"Iowa","Bremer",0,0,0,12,14,43,2,0,2004
"Iowa","Dallas",0,1,0,7,34,129,18,2,2004
"Iowa","Dubuque",0,2,3,22,88,139,23,1,2004
"Iowa","Grundy",0,0,0,1,41,76,5,0,2004
"Iowa","Harrison",1,1,1,2,51,108,14,5,2004
"Iowa","Johnson",0,6,0,85,73,192,17,1,2004
"Iowa","Jones",0,0,0,2,20,44,4,0,2004
"Iowa","Linn",1,4,0,76,168,193,41,3,2004
"Iowa","Mills",0,4,2,20,69,129,19,9,2004
"Iowa","Polk",2,13,10,158,258,770,105,11,2004
"Iowa","Pottawattamie",0,12,1,18,253,402,77,2,2004
"Iowa","Scott",1,3,1,25,70,176,14,1,2004
"Iowa","Story",0,1,0,12,89,118,23,2,2004
"Iowa","Warren",1,6,1,7,77,183,26,5,2004
"Iowa","Washington",0,6,0,19,49,33,6,0,2004
"Iowa","Woodbury",0,3,1,19,37,67,19,0,2004
"Kansas","Butler",1,4,0,14,117,273,28,6,2004
"Kansas","Doniphan",0,3,0,8,10,15,4,0,2004
"Kansas","Douglas",0,3,2,27,72,156,11,5,2004
"Kansas","Franklin",0,4,0,29,141,137,21,6,2004
"Kansas","Harvey",0,2,0,14,19,70,3,1,2004
"Kansas","Jackson",0,2,1,23,48,66,13,5,2004
"Kansas","Jefferson",0,4,0,29,111,233,22,3,2004
"Kansas","Johnson",0,0,2,25,80,258,27,NA,2004
"Kansas","Leavenworth",1,1,0,26,106,116,36,8,2004
"Kansas","Linn",0,1,0,18,60,63,9,2,2004
"Kansas","Miami",0,4,0,19,104,126,24,23,2004
"Kansas","Osage",1,3,3,24,89,88,15,11,2004
"Kansas","Shawnee",0,5,10,45,222,742,47,7,2004
"Kansas","Sumner",0,1,0,23,36,65,12,7,2004
"Kansas","Wabaunsee",0,0,0,5,33,68,9,0,2004
"Kansas","Wyandotte",0,1,1,11,2,9,3,1,2004
"Kansas","Riley ",3,27,18,120,262,1245,52,18,2004
"Kentucky","Boone",2,22,14,69,271,753,90,7,2004
"Kentucky","Bourbon",0,0,0,1,2,37,6,NA,2004
"Kentucky","Boyd",0,1,10,11,64,153,34,NA,2004
"Kentucky","Bracken",0,0,0,0,0,0,1,NA,2004
"Kentucky","Campbell ",3,25,1,16,74,155,20,1,2004
"Kentucky","Christian",0,2,5,22,124,162,30,NA,2004
"Kentucky","Clark",0,0,4,10,62,169,9,NA,2004
"Kentucky","Daviess",1,5,2,43,182,303,20,2,2004
"Kentucky","Edmonson",0,2,1,0,19,25,5,NA,2004
"Kentucky","Gallatin",0,0,0,5,15,21,9,NA,2004
"Kentucky","Grant",0,0,0,1,10,22,2,NA,2004
"Kentucky","Greenup",0,0,1,1,19,22,5,NA,2004
"Kentucky","Hancock",0,0,0,0,4,7,2,NA,2004
"Kentucky","Hardin",0,0,0,3,49,53,4,NA,2004
"Kentucky","Henry",0,0,0,0,1,3,0,NA,2004
"Kentucky","Jefferson",0,0,0,0,0,7,4,NA,2004
"Kentucky","Jessamine",0,5,1,8,74,129,19,NA,2004
"Kentucky","Kenton",0,2,1,2,46,77,6,NA,2004
"Kentucky","Larue",0,0,0,1,28,40,14,NA,2004
"Kentucky","McLean",0,0,0,0,20,9,2,NA,2004
"Kentucky","Meade",0,1,0,7,72,67,15,NA,2004
"Kentucky","Nelson",2,5,0,13,58,136,14,NA,2004
"Kentucky","Oldham",1,3,4,9,88,292,45,NA,2004
"Kentucky","Pendleton",0,0,0,0,6,2,0,NA,2004
"Kentucky","Scott",0,0,4,4,51,110,16,NA,2004
"Kentucky","Shelby",0,0,4,9,106,194,43,NA,2004
"Kentucky","Spencer",0,0,0,1,11,11,2,NA,2004
"Kentucky","Trigg",0,0,0,0,8,12,2,NA,2004
"Kentucky","Trimble",0,0,1,0,2,5,5,NA,2004
"Kentucky","Webster",0,0,0,0,0,2,0,NA,2004
"Kentucky","Woodford",0,0,0,0,3,13,0,0,2004
"Kentucky","Floyd",0,0,0,5,19,61,7,NA,2004
"Kentucky","Graves",0,1,2,14,74,109,17,NA,2004
"Kentucky","Knox",0,0,0,2,14,41,15,NA,2004
"Kentucky","Laurel",0,1,1,12,168,385,84,NA,2004
"Kentucky","Madison",0,0,0,8,80,181,20,NA,2004
"Kentucky","Pike",0,0,0,3,8,40,1,NA,2004
"Kentucky","Pulaski",0,6,7,13,241,518,77,NA,2004
"Louisiana","Ascension",10,35,26,333,561,2174,276,8,2004
"Louisiana","Bossier",1,7,4,211,101,480,40,1,2004
"Louisiana","Caddo",2,26,13,161,368,803,142,8,2004
"Louisiana","Calcasieu",5,53,63,125,860,2371,194,13,2004
"Louisiana","Cameron",0,1,1,40,34,164,21,2,2004
"Louisiana","De Soto",0,2,1,59,100,298,53,2,2004
"Louisiana","East Baton Rouge",13,40,166,387,1576,8487,536,27,2004
"Louisiana","East Feliciana",1,2,1,28,63,53,16,0,2004
"Louisiana","Grant",1,3,0,56,130,330,41,0,2004
"Louisiana","Iberville",1,9,5,164,102,374,18,7,2004
"Louisiana","Jefferson",43,160,721,1569,3285,11889,2452,152,2004
"Louisiana","Lafayette",1,25,26,196,501,902,150,13,2004
"Louisiana","Lafourche",2,14,20,139,319,1491,94,4,2004
"Louisiana","Livingston",2,13,3,172,640,284,64,9,2004
"Louisiana","Ouachita",3,23,23,215,788,1420,77,5,2004
"Louisiana","Plaquemines",2,2,8,67,111,242,62,0,2004
"Louisiana","Pointe Coupee",0,2,2,70,65,253,23,0,2004
"Louisiana","Rapides",8,16,16,286,805,1168,165,4,2004
"Louisiana","St Bernard",3,9,45,153,368,1556,194,0,2004
"Louisiana","St Charles",2,5,32,189,392,1073,166,5,2004
"Louisiana","St Helena",1,3,3,35,47,102,13,0,2004
"Louisiana","St John the Baptist",10,9,38,61,276,834,120,2,2004
"Louisiana","St Tammany",2,29,42,355,726,1973,253,18,2004
"Louisiana","Terrebonne",7,37,50,229,1069,2389,278,25,2004
"Louisiana","Union",1,0,1,23,29,30,0,0,2004
"Louisiana","West Baton Rouge",1,6,22,80,64,617,29,1,2004
"Louisiana","West Feliciana",2,0,0,29,22,83,6,0,2004
"Louisiana","Acadia",1,4,4,11,95,485,53,1,2004
"Louisiana","Avoyelles",0,10,3,9,181,227,7,0,2004
"Louisiana","Tangipahoa",3,28,43,682,1150,1598,96,4,2004
"Louisiana","Vermilion",0,0,2,60,68,192,16,0,2004
"Louisiana","Washington",0,9,18,30,118,285,22,NA,2004
"Maine","Androscoggin",0,0,2,1,47,212,13,0,2004
"Maine","Cumberland",0,4,3,11,232,335,39,5,2004
"Maine","Penobscot",0,0,0,4,241,493,19,0,2004
"Maine","Sagadahoc",0,2,0,1,37,153,10,4,2004
"Maine","York",0,11,4,22,126,193,10,1,2004
"Maine","Aroostook",0,0,0,1,46,42,5,0,2004
"Maine","Hancock",0,0,1,6,78,185,16,0,2004
"Maine","Kennebec",0,3,2,2,120,279,14,2,2004
"Maine","Somerset",0,0,0,11,148,178,32,0,2004
"Maine","Waldo",0,2,2,22,97,243,16,0,2004
"Maryland","Allegany",0,0,0,19,38,79,0,0,2004
"Maryland","Anne Arundel ",13,94,597,2137,2670,11042,1367,151,2004
"Maryland","Baltimore ",28,192,1563,4364,4906,18634,2921,314,2004
"Maryland","Calvert",1,8,10,120,211,677,62,0,2004
"Maryland","Carroll",0,0,2,37,35,138,3,0,2004
"Maryland","Cecil",1,1,8,45,273,532,69,0,2004
"Maryland","Charles",5,32,158,517,759,2764,494,0,2004
"Maryland","Frederick",1,12,14,146,254,873,73,0,2004
"Maryland","Harford",2,35,104,334,730,2022,239,0,2004
"Maryland","Howard ",1,40,223,344,1167,5060,592,155,2004
"Maryland","Montgomery",18,146,789,986,3741,15503,2562,276,2004
"Maryland","Prince George",134,259,3528,3220,6429,22988,16332,510,2004
"Maryland","Queen Annes",0,5,11,41,142,451,12,1,2004
"Maryland","Somerset",0,0,0,10,4,28,2,0,2004
"Maryland","Washington",2,11,14,159,280,722,105,0,2004
"Maryland","Wicomico",1,8,34,142,257,625,37,7,2004
"Maryland","Garrett",1,0,0,27,50,156,9,0,2004
"Maryland","St Marys",2,8,28,194,423,1105,72,13,2004
"Michigan","Barry",3,5,0,32,40,117,17,2,2004
"Michigan","Bay",0,12,6,25,112,497,52,0,2004
"Michigan","Berrien",2,16,9,92,133,372,35,1,2004
"Michigan","Calhoun",1,12,4,63,165,346,43,4,2004
"Michigan","Cass",1,7,7,21,269,509,37,3,2004
"Michigan","Clinton",0,0,0,30,56,173,20,2,2004
"Michigan","Genesee",0,10,10,30,122,457,77,1,2004
"Michigan","Ingham",0,46,23,58,374,674,85,11,2004
"Michigan","Ionia",0,18,2,42,135,266,29,4,2004
"Michigan","Jackson",2,40,3,38,186,410,43,1,2004
"Michigan","Kalamazoo",3,32,25,116,573,1672,124,22,2004
"Michigan","Kent",3,56,35,269,1180,2864,199,32,2004
"Michigan","Lapeer",0,12,1,34,118,341,42,2,2004
"Michigan","Livingston",0,6,7,37,152,544,69,5,2004
"Michigan","Macomb",1,26,20,171,219,1414,157,18,2004
"Michigan","Monroe",0,27,21,116,552,1599,200,35,2004
"Michigan","Muskegon",0,8,5,68,233,908,74,14,2004
"Michigan","Newaygo",2,20,1,52,161,228,38,5,2004
"Michigan","Oakland",3,76,48,351,857,3038,310,53,2004
"Michigan","Ottawa",2,127,19,175,747,2161,154,28,2004
"Michigan","Saginaw",0,22,8,108,214,663,72,5,2004
"Michigan","St Clair",0,41,7,146,323,1106,165,20,2004
"Michigan","Van Buren",0,11,3,50,229,430,148,4,2004
"Michigan","Washtenaw",2,47,76,228,610,1203,381,23,2004
"Michigan","Wayne",0,0,32,31,81,194,144,2,2004
"Michigan","Allegan",2,15,5,33,169,361,35,4,2004
"Michigan","Branch",0,0,0,18,51,160,5,3,2004
"Michigan","Clare",0,6,6,45,407,420,52,11,2004
"Michigan","Grand Traverse",0,38,2,67,203,753,40,8,2004
"Michigan","Hillsdale",0,14,3,22,117,157,18,1,2004
"Michigan","Isabella",0,13,3,29,127,235,26,4,2004
"Michigan","Lenawee",0,19,3,48,111,237,34,6,2004
"Michigan","Mecosta",1,10,3,32,185,428,39,7,2004
"Michigan","Midland",0,20,4,37,90,294,17,4,2004
"Michigan","Montcalm",0,29,2,31,203,306,37,3,2004
"Michigan","Sanilac",0,3,1,15,65,106,14,2,2004
"Michigan","St Joseph",0,6,2,39,90,191,23,2,2004
"Michigan","Tuscola",0,4,1,20,97,163,23,1,2004
"Minnesota","Anoka",1,9,0,20,128,399,67,3,2004
"Minnesota","Benton",0,15,1,10,82,281,33,0,2004
"Minnesota","Carlton",0,13,0,8,90,266,26,0,2004
"Minnesota","Carver",0,1,6,32,111,642,39,4,2004
"Minnesota","Chisago",0,5,3,11,149,454,83,1,2004
"Minnesota","Clay",1,6,0,2,33,50,19,0,2004
"Minnesota","Dakota",0,5,0,7,73,160,26,3,2004
"Minnesota","Dodge",0,1,0,0,49,166,17,0,2004
"Minnesota","Hennepin",1,7,3,21,54,134,19,0,2004
"Minnesota","Houston",0,2,0,3,14,56,6,0,2004
"Minnesota","Isanti",0,6,2,10,124,221,71,2,2004
"Minnesota","Olmsted",0,11,7,14,111,215,34,5,2004
"Minnesota","Ramsey",0,7,1,7,13,208,30,3,2004
"Minnesota","Scott",0,2,0,8,38,105,21,1,2004
"Minnesota","Sherburne",1,12,1,27,83,494,43,0,2004
"Minnesota","Stearns",0,14,1,36,132,385,41,2,2004
"Minnesota","St Louis",0,25,2,26,425,480,88,7,2004
