State,"Total
murders1","Total
firearms",Handguns,Rifles,Shotguns,"Firearms
(type
unknown)","Knives or
cutting
instruments","Other
weapons","Hands, fists,
feet, etc.2"
Alabama3,2,1,1,0,0,0,1,0,0
Alaska,34,12,5,3,1,3,5,13,4
Arizona,304,184,133,11,11,29,56,55,9
Arkansas,154,110,53,5,5,47,22,17,5
California,"1,745","1,224",805,29,48,342,238,191,92
Colorado,174,88,46,5,3,34,34,39,13
Connecticut,86,60,34,0,0,26,12,5,9
Delaware,39,33,22,1,0,10,4,2,0
District of Columbia,103,81,30,1,1,49,12,5,5
Georgia,534,411,348,11,10,42,40,74,9
Hawaii,9,6,1,2,2,1,2,1,0
Idaho,26,15,10,1,0,4,2,5,4
Illinois3,433,364,352,3,2,7,41,19,9
Indiana,311,238,149,6,7,76,19,41,13
Iowa,42,18,8,1,1,8,13,6,5
Kansas,112,78,39,9,5,25,8,16,10
Kentucky,165,111,82,10,6,13,23,22,9
Louisiana,453,356,298,8,9,41,34,40,23
Maine,24,12,3,2,1,6,5,2,5
Maryland,379,268,263,0,4,1,57,29,25
Massachusetts,135,78,35,2,0,41,25,25,7
Michigan,625,440,203,16,23,198,43,106,36
Minnesota,110,60,53,0,4,3,17,24,9
Mississippi,142,110,80,3,8,19,9,14,9
Missouri,371,273,137,14,6,116,41,45,12
Montana,15,9,5,0,1,3,3,2,1
Nebraska,57,39,11,2,0,26,8,7,3
Nevada,157,87,26,0,3,58,24,36,10
New Hampshire,21,5,3,0,0,2,6,5,5
New Jersey,401,291,229,0,2,60,53,37,20
New Mexico,106,59,46,5,2,6,19,20,8
New York,648,362,290,4,19,49,136,113,37
North Carolina,452,315,204,27,8,76,50,55,32
North Dakota,11,4,0,2,0,2,4,3,0
Ohio,434,309,208,3,4,94,37,69,19
Oklahoma,191,127,108,6,8,5,24,24,16
Oregon,78,43,15,0,4,24,12,18,5
Pennsylvania,594,440,328,20,22,70,52,74,28
Rhode Island,31,18,3,0,1,14,5,6,2
South Carolina,296,224,126,9,13,76,20,33,19
South Dakota,12,3,0,0,1,2,1,4,4
Tennessee,327,223,152,11,9,51,18,67,19
Texas,"1,133",760,530,34,30,166,164,129,80
Utah,49,31,25,2,1,3,6,7,5
Vermont,9,5,1,2,1,1,0,1,3
Virginia,315,225,126,3,6,90,30,40,20
Washington,155,86,47,0,7,32,29,27,13
West Virginia,54,30,17,3,3,7,2,20,2
Wisconsin,157,103,72,6,6,19,18,24,12
Wyoming,15,9,6,3,0,0,2,4,0
Guam,9,2,1,0,0,1,4,1,2
Virgin Islands,14,14,13,0,0,1,0,0,0
Total,12253,8454,5782,285,308,2079,1490,1622,687
