State,Total murders1,Total firearms,Handguns,Rifles,Shotguns,Firearms (type unknown),Knives or cutting instruments,Other weapons,"Hands, fists, feet, etc.2",
Alabama,385,285,262,7,16,0,38,47,15, 
Alaska,43,21,13,4,3,1,5,5,12,
Arizona,464,323,265,35,11,12,44,67,30,
Arkansas,191,130,92,7,10,21,20,29,12,
California,"2,249","1,605","1,374",51,74,106,298,228,118,
Colorado,150,85,56,0,2,27,23,25,17,
Connecticut,95,57,37,0,4,16,14,20,4,
Delaware,37,22,19,0,0,3,6,8,1,
Georgia,674,485,401,24,30,30,84,99,6,
Hawaii,12,3,3,0,0,0,3,1,5,
Idaho,49,25,11,6,1,7,5,14,5,
Illinois,463,343,330,4,6,3,53,57,10,
Indiana,333,231,160,12,9,50,38,44,20,
Iowa,36,12,4,2,1,5,11,8,5,
Kansas,104,63,29,5,3,26,12,23,6,
Kentucky,196,131,111,5,11,4,19,27,19,
Louisiana,577,455,339,31,15,70,45,55,22,
Maine,21,9,3,0,1,5,6,4,2,
Maryland,553,414,388,9,11,6,53,63,23,
Massachusetts,182,114,65,1,3,45,31,23,14,
Michigan,672,444,180,29,26,209,64,134,30,
Minnesota,107,61,52,7,2,0,15,20,11,
Mississippi,152,119,102,5,9,3,15,12,6,
Missouri,351,247,92,18,10,127,34,55,15,
Montana,14,10,5,0,2,3,2,1,1,
Nebraska,22,9,7,0,0,2,2,6,5,
Nevada,192,123,92,7,4,20,25,32,12,
New Hampshire,11,7,5,0,0,2,2,2,0,
New Jersey,380,260,244,1,5,10,46,37,37,
New Mexico,148,81,66,10,1,4,20,26,21,
New York,800,500,113,12,9,366,142,124,34,
North Carolina,555,369,252,17,24,76,63,83,40,
North Dakota,12,3,3,0,0,0,1,4,4,
Ohio,486,299,187,6,15,91,45,101,41,
Oklahoma,222,132,105,9,8,10,35,36,19,
Oregon,72,38,15,2,4,17,12,18,4,
Pennsylvania,719,527,439,18,10,60,81,88,23,
Rhode Island,19,9,3,0,0,6,7,3,0,
South Carolina,349,235,144,6,18,67,40,60,14,
South Dakota,15,4,2,1,1,0,3,6,2,
Tennessee,397,252,190,11,11,40,50,72,23,
Texas,"1,419",946,727,58,60,101,177,203,93,
Utah,58,38,22,0,0,16,5,10,5,
Vermont,12,9,5,2,1,1,2,0,1,
Virginia,406,287,163,5,10,109,48,51,20,
Washington,170,99,78,5,6,10,27,29,15,
West Virginia,59,37,18,7,1,11,5,7,10,
Wisconsin,182,121,86,9,5,21,18,27,16,
Wyoming,16,7,2,2,2,1,2,1,6,
Total,14831,10086,7361,450,455,1820,1796,2095,854,
,,,,,,,,,,
,,,,,,,,,,
, ,,,,,,,,,
,, ,,,,, ,, ,
, ,,,,,,,,,
,, ,, ,,,,,,
